"anesthetic","cell_id","time","end","init_withdrawn","initial","new","new_withdrawn","dyn_processes"
"pb",1,62.48416533,6,4,7,3,0,0.112028382919587
"pb",2,40.168392,2,1,2,1,0,0.049790392406049
"pb",3,62.48416533,6,4,5,5,0,0.144036492325183
"pb",4,58.02101067,4,0,2,3,1,0.0689405433274918
"pb",5,62.48416533,6,2,5,4,1,0.112028382919587
"pb",6,62.48416533,6,1,3,5,1,0.112028382919587
"pb",7,75.87362933,0,0,0,0,0,0
"pb",8,59.933728,1,3,4,0,0,0.0500552877338116
"pb",9,59.933728,2,4,4,13,11,0.467182685515575
"pb",10,66.02391383,6,0,5,2,1,0.0454380818399296
"pb",11,66.02391383,4,2,2,9,5,0.242336436479625
"pb",12,66.02391383,3,1,4,0,0,0.0151460272799765
"pb",13,66.02391383,3,3,5,2,1,0.0908761636798592
"pb",14,66.02391383,3,1,3,1,0,0.0302920545599531
"tric",1,89.512305,3,6,7,4,2,0.134059780942966
"tric",2,89.512305,2,2,3,2,1,0.0558582420595694
"tric",3,89.512305,3,2,4,1,0,0.0335149452357416
"tric",4,65.642357,1,0,0,2,1,0.0457021980487386
"tric",5,89.512305,3,3,5,4,3,0.111716484119139
"tric",6,89.512305,4,1,3,2,0,0.0335149452357416
"tric",7,84.50383,2,4,6,3,3,0.11833783155154
"tric",8,61.96947533,11,0,11,2,2,0.064547908122494
"tric",9,135.206128,3,2,3,9,7,0.133130060495483
"tric",10,135.206128,5,2,5,3,1,0.0443766868318276
