,cell_id,area,dff,dur,n,sheath_cont
1,1,41.9628,0.250418,100,31,Sheath
2,1,20.4612,0.20528081,40,28,Non-sheath
3,1,35.4892,0.18889128,60,31,Sheath
4,1,20.808,0.14241102,120,31,Sheath
5,1,16.762,0.12813152,80,31,Sheath
6,1,38.8416,0.12794025,40,28,Sheath
7,1,4.1616,0.115744166,100,31,Sheath
8,1,142.766,0.11169641,80,28,Non-sheath
9,2,63.2332,0.1458783,80,49,Sheath
10,2,6.936,0.10749523,100,49,Sheath
11,3,3.5836,0.12478725,160,27,Sheath
12,3,3.9304001,0.11037459,100,27,Sheath
13,3,4.9708,0.10806786,60,27,Sheath
14,3,8.9012,0.10794505,100,27,Sheath
15,3,6.4736004,0.1039795,160,27,Non-sheath
16,4,68.0884,0.20707841,60,15,Sheath
17,5,83.0008,0.1135217,80,3,Sheath
18,6,6.3580003,0.122533515,100,3,Sheath
19,11,22.3108,0.29970598,50,40,Sheath
20,11,8.2076,0.14928858,110,32,Non-sheath
21,11,3.5836,0.1350703,100,32,Non-sheath
22,11,7.2828,0.13417488,50,32,Non-sheath
23,11,12.947201,0.12229137,310,32,Non-sheath
24,11,6.8203998,0.10982555,50,32,Sheath
25,11,3.5836,0.10695713,30,40,Sheath
26,11,4.046,0.10496229,110,40,Non-sheath
27,11,11.791201,0.10315775,200,32,Non-sheath
28,11,14.5656,0.102918334,40,40,Sheath
29,11,3.3523998,0.10234738,50,32,Sheath
30,18,28.322,0.11484104,40,7,Sheath
31,24,3.6992002,0.1748997,256.8,16,Sheath
32,24,3.468,0.14015071,64.2,16,Sheath
33,24,11.9068,0.12002923,141.24,16,Sheath
34,24,3.468,0.1135854,25.68,41,Sheath
35,31,22.6576,0.23775448,20,22,Sheath
36,31,167.62,0.15263695,50,22,Sheath
37,31,66.7012,0.14968003,40,22,Sheath
38,31,90.16801,0.13117144,20,22,Sheath
39,31,3.3523998,0.12306193,40,23,Sheath
40,31,4.7396,0.10896308,40,23,Sheath
41,31,7.3984003,0.10597328,30,22,Sheath
