dff,fluor
0.02249688,mScarlet-CAAX
0.027255611,mScarlet-CAAX
0.02143412,mScarlet-CAAX
0.027270889,mScarlet-CAAX
0.026061602,mScarlet-CAAX
0.02959601,mScarlet-CAAX
0.026216045,mScarlet-CAAX
0.029432189,mScarlet-CAAX
0.03539422,mScarlet-CAAX
0.037208866,mScarlet-CAAX
0.035634086,mScarlet-CAAX
0.026606278,mScarlet-CAAX
0.03286583,mScarlet-CAAX
0.035974126,mScarlet-CAAX
0.03347556,mScarlet-CAAX
0.03517647,mScarlet-CAAX
0.033384304,mScarlet-CAAX
0.04413266,mScarlet-CAAX
0.049077325,mScarlet-CAAX
0.0436378,mScarlet-CAAX
0.03458806,mScarlet-CAAX
0.036170993,mScarlet-CAAX
0.034783415,mScarlet-CAAX
0.033218525,mScarlet-CAAX
0.04698203,mScarlet-CAAX
0.04323255,mScarlet-CAAX
0.038348474,mScarlet-CAAX
NA,mScarlet-CAAX
0.036589988,mScarlet-CAAX
0.033038452,mScarlet-CAAX
0.033924714,mScarlet-CAAX
0.03678898,mScarlet-CAAX
0.029740443,mScarlet-CAAX
0.040678132,mScarlet-CAAX
0.042234216,mScarlet-CAAX
0.039496645,mScarlet-CAAX
0.045905195,mScarlet-CAAX
0.034358993,mScarlet-CAAX
0.071803756,mScarlet-CAAX
0.061347224,mScarlet-CAAX
0.0578066,mScarlet-CAAX
0.057431836,mScarlet-CAAX
0.055714913,mScarlet-CAAX
0.051184576,mScarlet-CAAX
0.050899245,mScarlet-CAAX
0.05051186,mScarlet-CAAX
0.04908271,mScarlet-CAAX
0.048511826,mScarlet-CAAX
0.04800015,mScarlet-CAAX
0.047647998,mScarlet-CAAX
0.047271147,mScarlet-CAAX
0.046653796,mScarlet-CAAX
0.04660908,mScarlet-CAAX
0.046199985,mScarlet-CAAX
0.045868162,mScarlet-CAAX
0.045469027,mScarlet-CAAX
0.04477851,mScarlet-CAAX
0.04397426,mScarlet-CAAX
0.043957986,mScarlet-CAAX
0.04343863,mScarlet-CAAX
0.043228414,mScarlet-CAAX
0.042569045,mScarlet-CAAX
0.041943043,mScarlet-CAAX
0.041384727,mScarlet-CAAX
0.04114768,mScarlet-CAAX
0.04058591,mScarlet-CAAX
0.04025117,mScarlet-CAAX
0.03981731,mScarlet-CAAX
0.039232854,mScarlet-CAAX
0.039150085,mScarlet-CAAX
0.039127685,mScarlet-CAAX
0.038978685,mScarlet-CAAX
0.038428675,mScarlet-CAAX
0.03773153,mScarlet-CAAX
0.036705066,mScarlet-CAAX
0.035590097,mScarlet-CAAX
0.034149785,mScarlet-CAAX
0.033813704,mScarlet-CAAX
0.03358008,mScarlet-CAAX
0.03305803,mScarlet-CAAX
0.033008147,mScarlet-CAAX
0.032632306,mScarlet-CAAX
