fluor,puncta_id,puncta_area,cell_area,cell_id
mTagBFP-CAAX,1,5.30352,194.045,1
mTagBFP-CAAX,1,6.7056,232.153,2
mTagBFP-CAAX,1,0.73152,256.999,3
mTagBFP-CAAX,2,5.39496,256.999,3
mTagBFP-CAAX,3,2.56032,256.999,3
mTagBFP-CAAX,4,0.21336,256.999,3
mTagBFP-CAAX,1,0.762,321.356,4
mTagBFP-CAAX,2,8.77824,321.356,4
mTagBFP-CAAX,1,3.87096,303.826,5
mTagBFP-CAAX,1,1.88976,212.916,6
mTagBFP-CAAX,2,9.7536,212.916,6
mTagBFP-CAAX,1,0.9144,199.441,7
mTagBFP-CAAX,2,3.74904,199.441,7
mTagBFP-CAAX,1,5.7912,216.27,8
mTagBFP-CAAX,1,1.6764,519.669,9
mTagBFP-CAAX,2,0.79248,519.669,9
mTagBFP-CAAX,3,2.46888,519.669,9
mTagBFP-CAAX,4,6.06552,519.669,9
mTagBFP-CAAX,5,3.26136,519.669,9
mTagBFP-CAAX,6,1.12776,519.669,9
mTagBFP-CAAX,0,0,139.901,10
mTagBFP-CAAX,0,0,524.15,11
mTagBFP-CAAX,1,8.01624,323.551,12
mTagBFP-CAAX,1,2.65176,176.455,13
mTagBFP-CAAX,1,3.99288,150.846,14
mTagBFP-CAAX,1,3.16992,525.156,15
mTagBFP-CAAX,2,0.9144,525.156,15
mTagBFP-CAAX,1,5.76072,261.084,16
mTagBFP-CAAX,1,2.4384,273.889,17
mTagBFP-CAAX,0,0,282.059,18
mTagBFP-CAAX,1,2.56032,259.987,19
mTagBFP-CAAX,1,8.9916,222.489,20
mTagBFP-CAAX,0,0,331.721,21
mTagBFP-CAAX,0,0,229.958,22
mTagBFP-CAAX,1,1.2192,300.137,23
mTagBFP-CAAX-2A-BoNT/B,1,3.3528,254.225,1
mTagBFP-CAAX-2A-BoNT/B,2,1.24968,254.225,1
mTagBFP-CAAX-2A-BoNT/B,3,3.77952,254.225,1
mTagBFP-CAAX-2A-BoNT/B,4,0.36576,254.225,1
mTagBFP-CAAX-2A-BoNT/B,1,6.58368,274.437,2
mTagBFP-CAAX-2A-BoNT/B,2,3.2004,274.437,2
mTagBFP-CAAX-2A-BoNT/B,1,5.6388,173.528,3
mTagBFP-CAAX-2A-BoNT/B,1,2.77368,191.24,4
mTagBFP-CAAX-2A-BoNT/B,2,3.90144,191.24,4
mTagBFP-CAAX-2A-BoNT/B,3,1.18872,191.24,4
