treatment,puncta_id,puncta_area,cell_area,cell_id
Normal incubation,1,11.20212,515.828,1
Normal incubation,0,0,394.218,2
Normal incubation,1,1.66518,494.335,3
Normal incubation,2,7.478172,494.335,3
Normal incubation,3,13.957236,494.335,3
Normal incubation,1,4.571676,172.583,4
Normal incubation,1,5.964372,244.927,5
Normal incubation,2,0.575244,244.927,5
Normal incubation,3,3.33036,244.927,5
Normal incubation,1,2.664288,206.514,6
Normal incubation,1,15.198552,177.43,7
Normal incubation,1,14.22972,375.591,8
Normal incubation,1,5.570784,243.768,9
Normal incubation,2,0.696348,243.768,9
Normal incubation,0,0,620.457,10
Normal incubation,1,12.625092,272.303,11
Normal incubation,1,3.451464,343.946,12
Normal incubation,2,4.208364,343.946,12
Strong water current,0,0,274.895,1
Strong water current,1,2.089044,488.512,2
Strong water current,2,1.453248,488.512,2
Strong water current,3,0.393588,488.512,2
Strong water current,0,0,299.711,3
Strong water current,0,0,266.694,4
Strong water current,1,4.450572,202.246,5
Strong water current,1,0.968832,370.622,6
Strong water current,2,1.271592,370.622,6
Strong water current,3,0.211932,370.622,6
Strong water current,0,0,274.651,7
Strong water current,0,0,311.417,8
Strong water current,1,7.780932,308.978,9
Strong water current,2,0.878004,308.978,9
Strong water current,0,0,406.992,10
Strong water current,1,14.108616,251.969,11
Strong water current,1,0.696348,413.18,12
Strong water current,2,0.242208,413.18,12
Strong water current,3,5.873544,413.18,12
Strong water current,1,4.147812,197.764,13
Strong water current,2,0.787176,197.764,13
Strong water current,1,17.10594,319.313,14
Strong water current,1,7.175412,383.426,15
Strong water current,2,0.575244,383.426,15
Strong water current,3,0.333036,383.426,15
Strong water current,4,0.333036,383.426,15
Strong water current,5,1.301868,383.426,15
Strong water current,6,0.181656,383.426,15
Strong water current,0,0,443.697,16
Strong water current,0,0,377.146,17
Normal incubation,1,10.505772,237.488,13
Normal incubation,2,3.572568,237.488,13
Normal incubation,1,11.232396,252.121,14
Normal incubation,1,13.563648,480.647,15
Normal incubation,2,4.511124,480.647,15
Normal incubation,1,2.906496,124.75,16
Normal incubation,2,0.696348,124.75,16
Normal incubation,3,2.72484,124.75,16
