group,n_microglia
sib_dmso,30
sib_dmso,32
sib_dmso,29
sib_dmso,32
sib_dmso,27
sib_dmso,30
sib_dmso,27
sib_dmso,27
sib_dmso,29
sib_dmso,33
sib_mtz,25
sib_mtz,26
sib_mtz,27
sib_mtz,26
sib_mtz,30
sib_mtz,27
sib_mtz,30
sib_mtz,33
sib_mtz,27
sib_mtz,28
ntr_dmso,29
ntr_dmso,24
ntr_dmso,32
ntr_dmso,29
ntr_dmso,30
ntr_dmso,25
ntr_dmso,27
ntr_dmso,34
ntr_dmso,30
ntr_dmso,28
ntr_mtz,8
ntr_mtz,9
ntr_mtz,5
ntr_mtz,3
ntr_mtz,5
ntr_mtz,8
ntr_mtz,5
ntr_mtz,7
ntr_mtz,6
ntr_mtz,6
ntr_mtz,13
ntr_mtz,10
ntr_mtz,5
ntr_mtz,10
ntr_mtz,12
ntr_mtz,8
DMSO_gw,28
DMSO_gw,25
DMSO_gw,35
DMSO_gw,31
DMSO_gw,30
DMSO_gw,23
DMSO_gw,30
DMSO_gw,27
DMSO_gw,30
DMSO_gw,32
DMSO_gw,27
DMSO_gw,39
GW2580,14
GW2580,24
GW2580,17
GW2580,19
GW2580,23
GW2580,16
GW2580,20
GW2580,19
GW2580,19
GW2580,19
GW2580,16
ctrl_MO,34
ctrl_MO,30
ctrl_MO,34
ctrl_MO,33
ctrl_MO,35
ctrl_MO,26
ctrl_MO,28
ctrl_MO,35
ctrl_MO,36
ctrl_MO,28
Irf8_MO,2
Irf8_MO,0
Irf8_MO,3
Irf8_MO,0
Irf8_MO,0
Irf8_MO,4
Irf8_MO,3
Irf8_MO,4
Irf8_MO,3
Irf8_MO,0
Irf8_MO,3
Irf8_MO,4
Irf8_MO,0
Irf8_MO,6
Irf8_MO,3
