group,cell_id,sheath_id,sheath_length,somas,bites
ntr_dmso,1,1,45.946,0,0
ntr_dmso,1,2,37.304,0,0
ntr_dmso,1,3,63.92,0,0
ntr_dmso,1,4,20.198,0,0
ntr_dmso,1,5,43.453,0,0
ntr_dmso,1,6,32.246,0,0
ntr_dmso,1,7,27.23,0,0
ntr_dmso,1,8,22.265,0,0
ntr_dmso,1,9,23.865,0,0
ntr_dmso,1,10,35.281,0,0
ntr_dmso,2,1,36.939,0,0
ntr_dmso,2,2,38.001,0,0
ntr_dmso,2,3,25.237,0,0
ntr_dmso,2,4,42.89,0,0
ntr_dmso,2,5,36.496,0,0
ntr_dmso,2,6,26.224,0,0
ntr_dmso,2,7,35.978,0,0
ntr_dmso,2,8,51.969,0,0
ntr_dmso,2,9,18.593,0,0
ntr_dmso,2,10,44.068,0,0
ntr_dmso,2,11,46.457,0,0
ntr_dmso,2,12,45.55,0,0
ntr_dmso,3,1,18.41,0,1
ntr_dmso,3,2,36.172,0,1
ntr_dmso,3,3,31.442,0,1
ntr_dmso,3,4,29.623,0,1
ntr_dmso,3,5,11.434,0,1
ntr_dmso,3,6,33.13,0,1
ntr_dmso,3,7,46.751,0,1
ntr_dmso,3,8,33.958,0,1
ntr_dmso,3,9,50.903,0,1
ntr_dmso,3,10,10.248,0,1
ntr_dmso,3,11,67.518,0,1
ntr_dmso,3,12,60.975,0,1
ntr_dmso,4,1,52.348,0,0
ntr_dmso,4,2,55.196,0,0
ntr_dmso,4,3,14.678,0,0
ntr_dmso,4,4,52.218,0,0
ntr_dmso,4,5,36.808,0,0
ntr_dmso,4,6,41.531,0,0
ntr_dmso,4,7,17.353,0,0
ntr_dmso,4,8,32.277,0,0
ntr_dmso,4,9,27.235,0,0
ntr_dmso,4,10,22.065,0,0
ntr_dmso,4,11,25.746,0,0
ntr_dmso,4,12,9.933,0,0
ntr_dmso,4,13,47.12,0,0
ntr_dmso,4,14,41.885,0,0
ntr_dmso,5,1,19.016,0,0
ntr_dmso,5,2,48.878,0,0
ntr_dmso,5,3,47.715,0,0
ntr_dmso,5,4,44.591,0,0
ntr_dmso,5,5,25.513,0,0
ntr_dmso,5,6,25.131,0,0
ntr_dmso,5,7,21.972,0,0
ntr_dmso,5,8,46.948,0,0
ntr_dmso,6,1,21.119,0,0
ntr_dmso,6,2,47.484,0,0
ntr_dmso,6,3,68.196,0,0
ntr_dmso,6,4,37.584,0,0
ntr_dmso,6,5,53.233,0,0
ntr_dmso,6,6,52.461,0,0
ntr_dmso,7,1,49.367,0,0
ntr_dmso,7,2,27.39,0,0
ntr_dmso,7,3,45.477,0,0
ntr_dmso,7,4,20.308,0,0
ntr_dmso,7,5,73.388,0,0
ntr_dmso,7,6,41.981,0,0
ntr_dmso,8,1,42.646,0,1
ntr_dmso,8,2,20.939,0,1
ntr_dmso,8,3,70.374,0,1
ntr_dmso,8,4,39.852,0,1
ntr_dmso,8,5,21.104,0,1
ntr_dmso,8,6,46.419,0,1
ntr_dmso,8,7,36.136,0,1
ntr_dmso,9,1,18.463,0,0
ntr_dmso,9,2,39.074,0,0
ntr_dmso,9,3,14.378,0,0
ntr_dmso,9,4,21.603,0,0
ntr_dmso,9,5,7.039,0,0
ntr_dmso,9,6,17.719,0,0
ntr_dmso,9,7,36.968,0,0
ntr_dmso,9,8,38.041,0,0
ntr_dmso,9,9,24.713,0,0
ntr_dmso,9,10,28.305,0,0
ntr_dmso,9,11,33.235,0,0
ntr_dmso,9,12,36.534,0,0
ntr_dmso,10,1,49.886,0,0
ntr_dmso,10,2,68.562,0,0
ntr_dmso,10,3,45.602,0,0
ntr_dmso,11,1,5.804,0,2
ntr_dmso,11,2,9.76,0,2
ntr_dmso,11,3,15.269,0,2
ntr_dmso,11,4,10.764,0,2
ntr_dmso,11,5,16.972,0,2
ntr_dmso,11,6,31.574,0,2
ntr_dmso,11,7,18.055,0,2
ntr_dmso,11,8,38.438,0,2
ntr_dmso,11,9,15.887,0,2
ntr_dmso,11,10,20.56,0,2
ntr_dmso,11,11,4.231,0,2
ntr_dmso,12,1,46.7,0,0
ntr_dmso,12,2,23.493,0,0
ntr_dmso,12,3,62.1,0,0
ntr_dmso,12,4,20.337,0,0
ntr_dmso,12,5,31.703,0,0
ntr_dmso,12,6,35.239,0,0
ntr_dmso,12,7,20.013,0,0
ntr_dmso,12,8,23.455,0,0
ntr_dmso,12,9,38.898,0,0
ntr_dmso,12,10,18.569,0,0
ntr_dmso,12,11,19.658,0,0
ntr_dmso,12,12,28.02,0,0
ntr_dmso,12,13,32.582,0,0
ntr_dmso,12,14,25.464,0,0
ntr_dmso,12,15,30.055,0,0
ntr_dmso,12,16,24.236,0,0
ntr_dmso,13,1,35.319,0,1
ntr_dmso,13,2,17.549,0,1
ntr_dmso,13,3,35.098,0,1
ntr_dmso,13,4,59.738,0,1
ntr_dmso,13,5,49.167,0,1
ntr_dmso,14,1,8.972,0,2
ntr_dmso,14,2,38.983,0,2
ntr_dmso,14,3,63.827,0,2
ntr_dmso,14,4,37.069,0,2
ntr_dmso,14,5,47.817,0,2
ntr_dmso,14,6,81.85,0,2
ntr_dmso,14,7,17.568,0,2
ntr_dmso,14,8,51.88,0,2
ntr_dmso,14,9,10.834,0,2
ntr_dmso,15,1,39.922,1,0
ntr_dmso,15,2,39.964,1,0
ntr_dmso,15,3,70.253,1,0
ntr_dmso,15,4,44.554,1,0
ntr_dmso,15,5,28.872,1,0
ntr_dmso,15,6,29.516,1,0
ntr_dmso,15,7,60.698,1,0
ntr_dmso,15,8,39.689,1,0
ntr_mtz,1,1,18.498,0,0
ntr_mtz,1,2,7.801,0,0
ntr_mtz,1,3,4.423,0,0
ntr_mtz,1,4,15.131,0,0
ntr_mtz,1,5,25.027,0,0
ntr_mtz,1,6,40.5,0,0
ntr_mtz,1,7,42.994,0,0
ntr_mtz,1,8,37.276,0,0
ntr_mtz,1,9,29.827,0,0
ntr_mtz,1,10,31.069,0,0
ntr_mtz,1,11,29.746,0,0
ntr_mtz,1,12,67.271,0,0
ntr_mtz,2,1,12.206,0,0
ntr_mtz,2,2,22.769,0,0
ntr_mtz,2,3,11.585,0,0
ntr_mtz,2,4,9.628,0,0
ntr_mtz,2,5,16.498,0,0
ntr_mtz,2,6,31.542,0,0
ntr_mtz,2,7,22.753,0,0
ntr_mtz,2,8,24.297,0,0
ntr_mtz,2,9,38.052,0,0
ntr_mtz,2,10,40.736,0,0
ntr_mtz,2,11,62.814,0,0
ntr_mtz,2,12,13.45,0,0
ntr_mtz,2,13,11.13,0,0
ntr_mtz,2,14,25.02,0,0
ntr_mtz,2,15,14.901,0,0
ntr_mtz,3,1,22.186,0,0
ntr_mtz,3,2,26.314,0,0
