group,dorsal,ventral
ntr_dmso,10,27
ntr_dmso,8,26
ntr_dmso,8,25
ntr_dmso,12,26
ntr_dmso,4,27
ntr_dmso,7,25
ntr_dmso,7,28
ntr_dmso,9,25
ntr_mtz,11,27
ntr_mtz,10,29
ntr_mtz,7,27
ntr_mtz,6,26
ntr_mtz,8,27
ntr_mtz,8,22
sib_mtz,8,23
sib_mtz,10,28
sib_mtz,9,28
sib_mtz,10,25
sib_mtz,8,26
sib_mtz,10,24
ctrl_MO,10,26
ctrl_MO,10,26
ctrl_MO,12,27
ctrl_MO,6,18
ctrl_MO,7,24
ctrl_MO,9,25
ctrl_MO,9,26
ctrl_MO,7,17
ctrl_MO,9,25
Irf8_MO,9,27
Irf8_MO,15,25
Irf8_MO,9,28
Irf8_MO,14,28
Irf8_MO,10,27
Irf8_MO,8,31
Irf8_MO,6,36
Irf8_MO,12,31
Irf8_MO,9,21
Irf8_MO,5,18
Irf8_MO,12,28
Irf8_MO,6,27
sib_dmso,4,21
sib_dmso,7,28
sib_dmso,7,25
sib_dmso,5,24
sib_dmso,11,18
sib_dmso,9,26
sib_dmso,11,29
DMSO_gw,8,28
DMSO_gw,7,26
DMSO_gw,7,24
DMSO_gw,7,25
DMSO_gw,5,22
DMSO_gw,9,29
DMSO_gw,8,17
GW2580,6,27
GW2580,6,27
GW2580,7,29
GW2580,10,29
GW2580,7,25
GW2580,6,23
GW2580,9,22
GW2580,11,27
